topic_id,source,n,mean_v_score,max_v_score,pct_valid_all_8,pct_pass_v1,pct_pass_v2,pct_pass_v3,pct_pass_v4,pct_pass_v5,pct_pass_v6,pct_pass_v7,pct_pass_v8
T01,human,10,4.2,8,20.0,70.0,60.0,30.0,40.0,70.0,40.0,60.0,50.0
T02,human,10,2.6666666666666665,8,20.0,44.44444444444444,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,22.22222222222222,33.33333333333333,33.33333333333333
T03,ai,17,8.0,8,94.11764705882352,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T03,human,10,4.333333333333333,8,10.0,55.55555555555556,55.55555555555556,44.44444444444444,11.11111111111111,88.88888888888889,33.33333333333333,88.88888888888889,55.55555555555556
T04,human,10,4.4,8,20.0,70.0,70.0,50.0,30.0,60.0,40.0,60.0,60.0
T05,ai,17,7.5,8,82.35294117647058,87.5,93.75,93.75,93.75,93.75,93.75,100.0,93.75
T05,human,10,5.6,8,20.0,80.0,70.0,60.0,50.0,90.0,50.0,90.0,70.0
T06,human,10,4.9,8,10.0,80.0,80.0,40.0,40.0,70.0,40.0,70.0,70.0
T07,human,10,4.5,8,20.0,70.0,60.0,50.0,20.0,80.0,30.0,90.0,50.0
T08,human,10,3.4,8,0.0,50.0,40.0,40.0,40.0,50.0,20.0,60.0,40.0
T09,human,10,5.888888888888889,8,40.0,77.77777777777779,77.77777777777779,66.66666666666666,55.55555555555556,88.88888888888889,55.55555555555556,88.88888888888889,77.77777777777779
T10,ai,10,7.9,8,90.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T10,human,10,6.5,8,10.0,100.0,100.0,75.0,37.5,75.0,62.5,100.0,100.0
T11,human,10,2.7,8,20.0,60.0,30.0,20.0,20.0,30.0,30.0,50.0,30.0
T12,ai,10,8.0,8,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T12,human,10,3.7,8,10.0,80.0,60.0,30.0,10.0,50.0,40.0,50.0,50.0
